id_kec,kabupaten,kecamatan,mean_lsi,crop_fraction,crop_density_pct,mean_asi,zone,zone_name,prov_rank
3575020.0,Kota Pasuruan,Purworejo,0.4704,0.1111,11.11,0.0716,4,Zone 4: Ecological Catchment,396
3528040.0,Pamekasan,Larangan,0.6958,0.0952,9.52,0.0716,2,Zone 2: Hydrologic Conveyance,397
3529020.0,Sumenep,Bluto,0.7069,0.0877,8.77,0.0715,2,Zone 2: Hydrologic Conveyance,398
3526180.0,Bangkalan,Klampis,0.6614,0.1098,10.98,0.0714,2,Zone 2: Hydrologic Conveyance,399
3502140.0,Ponorogo,Sampung,0.5495,0.1351,13.51,0.0713,4,Zone 4: Ecological Catchment,400
3509230.0,Jember,Ledokombo,0.3627,0.1074,10.74,0.0708,4,Zone 4: Ecological Catchment,401
3507210.0,Malang,Tumpang,0.4974,0.1549,15.49,0.0704,4,Zone 4: Ecological Catchment,402
3515150.0,Sidoarjo,Gedangan,0.4327,0.16,16.0,0.0702,4,Zone 4: Ecological Catchment,403
3505080.0,Blitar,Wlingi,0.373,0.175,17.5,0.0688,4,Zone 4: Ecological Catchment,404
3503120.0,Trenggalek,Tugu,0.5813,0.1087,10.87,0.0687,4,Zone 4: Ecological Catchment,405
3528091.0,Pamekasan,Kadur,0.6232,0.1111,11.11,0.0687,2,Zone 2: Hydrologic Conveyance,406
3510080.0,Banyuwangi,Glenmore,0.2821,0.1653,16.53,0.0674,4,Zone 4: Ecological Catchment,407
3518010.0,Nganjuk,Sawahan,0.4721,0.1048,10.48,0.0655,4,Zone 4: Ecological Catchment,408
3527090.0,Sampang,Banyuates,0.6212,0.1076,10.76,0.0648,2,Zone 2: Hydrologic Conveyance,409
3529210.0,Sumenep,Gayam,0.5676,0.0899,8.99,0.0648,4,Zone 4: Ecological Catchment,410
3528080.0,Pamekasan,Pengantenan,0.6246,0.1047,10.47,0.0647,2,Zone 2: Hydrologic Conveyance,411
3516020.0,Mojokerto,Gondang,0.4932,0.1068,10.68,0.0642,4,Zone 4: Ecological Catchment,412
3502130.0,Ponorogo,Badegan,0.5394,0.1158,11.58,0.0632,4,Zone 4: Ecological Catchment,413
3513040.0,Probolinggo,Bantaran,0.3662,0.2,20.0,0.063,4,Zone 4: Ecological Catchment,414
3528101.0,Pamekasan,Pasean,0.6774,0.0952,9.52,0.0624,2,Zone 2: Hydrologic Conveyance,415
3528100.0,Pamekasan,Waru,0.6109,0.0938,9.38,0.0617,2,Zone 2: Hydrologic Conveyance,416
3509160.0,Jember,Tanggul,0.2429,0.1215,12.15,0.0602,4,Zone 4: Ecological Catchment,417
3508050.0,Lumajang,Tempeh,0.4609,0.1456,14.56,0.0589,4,Zone 4: Ecological Catchment,418
3505060.0,Blitar,Kesamben,0.5378,0.1184,11.84,0.0587,4,Zone 4: Ecological Catchment,419
3512060.0,Situbondo,Kendit,0.5517,0.1238,12.38,0.0577,4,Zone 4: Ecological Catchment,420
3521140.0,Ngawi,Pitu,0.8198,0.0723,7.23,0.0577,2,Zone 2: Hydrologic Conveyance,421
3505110.0,Blitar,Kademangan,0.5341,0.1111,11.11,0.0576,4,Zone 4: Ecological Catchment,422
3529150.0,Sumenep,Manding,0.6506,0.0806,8.06,0.0575,2,Zone 2: Hydrologic Conveyance,423
3528070.0,Pamekasan,Palengaan,0.6586,0.0789,7.89,0.0525,2,Zone 2: Hydrologic Conveyance,424
3507720.0,Kota Batu,Junrejo,0.6716,0.08,8.0,0.0517,2,Zone 2: Hydrologic Conveyance,425
3513220.0,Probolinggo,Lumbang,0.4155,0.1028,10.28,0.0508,4,Zone 4: Ecological Catchment,426
